age,workclass,education,marital-status,occupation,relationship,gender,native-country,income
25,Private,Bachelors,Never-married,Exec-managerial,Own-child,Female,United-States,<=50K
49,Private,10th,Married-civ-spouse,Farming-fishing,Husband,Male,United-States,<=50K
59,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,United-States,>50K
20,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Female,United-States,<=50K
33,Private,Some-college,Never-married,Adm-clerical,Unmarried,Female,United-States,<=50K
22,Private,Some-college,Never-married,Transport-moving,Own-child,Male,United-States,<=50K
58,Self-emp-not-inc,9th,Widowed,Other-service,Not-in-family,Female,United-States,<=50K
52,Local-gov,HS-grad,Widowed,Adm-clerical,Unmarried,Female,United-States,<=50K
36,Private,10th,Separated,Machine-op-inspct,Not-in-family,Female,United-States,<=50K
41,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,Male,United-States,<=50K
28,Private,HS-grad,Never-married,Transport-moving,Own-child,Male,United-States,<=50K
19,Private,Some-college,Never-married,Handlers-cleaners,Own-child,Male,United-States,<=50K
18,Private,HS-grad,Never-married,Other-service,Not-in-family,Female,United-States,<=50K
18,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,Female,United-States,<=50K
28,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
29,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
40,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,Male,United-States,<=50K
26,Private,HS-grad,Never-married,Handlers-cleaners,Unmarried,Male,United-States,<=50K
46,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
23,Private,11th,Never-married,Other-service,Not-in-family,Female,United-States,<=50K
44,Private,HS-grad,Married-spouse-absent,Adm-clerical,Unmarried,Female,United-States,<=50K
43,Private,Bachelors,Divorced,Sales,Unmarried,Female,United-States,>50K
31,Local-gov,Bachelors,Divorced,Prof-specialty,Unmarried,Female,United-States,<=50K
18,Private,Some-college,Never-married,Sales,Own-child,Female,United-States,<=50K
19,Private,Some-college,Never-married,Protective-serv,Own-child,Male,United-States,<=50K
41,Private,Some-college,Divorced,Tech-support,Not-in-family,Female,United-States,<=50K
41,Private,HS-grad,Divorced,Handlers-cleaners,Unmarried,Female,United-States,<=50K
69,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,Female,United-States,<=50K
48,Federal-gov,Doctorate,Married-civ-spouse,Prof-specialty,Wife,Female,United-States,>50K
28,Private,HS-grad,Never-married,Prof-specialty,Own-child,Male,United-States,<=50K
27,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,Ireland,>50K
41,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
41,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,Male,United-States,<=50K
24,Private,HS-grad,Never-married,Craft-repair,Unmarried,Female,United-States,<=50K
42,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
57,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
30,Private,Assoc-acdm,Never-married,Prof-specialty,Not-in-family,Female,United-States,<=50K
36,Private,HS-grad,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
49,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,Male,United-States,<=50K
33,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,Female,United-States,<=50K
23,Private,10th,Married-civ-spouse,Farming-fishing,Husband,Male,United-States,<=50K
46,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,<=50K
18,Private,Some-college,Never-married,Adm-clerical,Own-child,Female,Germany,<=50K
40,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
43,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
34,Private,Masters,Never-married,Prof-specialty,Own-child,Female,United-States,<=50K
47,Self-emp-not-inc,HS-grad,Widowed,Exec-managerial,Not-in-family,Female,United-States,<=50K
44,Private,Assoc-voc,Widowed,Exec-managerial,Unmarried,Female,United-States,<=50K
33,Private,HS-grad,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
55,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
19,Private,HS-grad,Never-married,Sales,Not-in-family,Male,United-States,<=50K
28,Private,Some-college,Never-married,Other-service,Not-in-family,Male,United-States,<=50K
27,Private,11th,Married-civ-spouse,Other-service,Wife,Female,United-States,<=50K
50,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,Male,United-States,<=50K
22,Private,11th,Never-married,Craft-repair,Unmarried,Male,United-States,<=50K
40,State-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,Male,United-States,>50K
25,Private,Some-college,Never-married,Adm-clerical,Own-child,Female,United-States,<=50K
26,Local-gov,HS-grad,Never-married,Craft-repair,Not-in-family,Male,United-States,<=50K
22,Private,Bachelors,Never-married,Sales,Not-in-family,Male,United-States,<=50K
42,Private,Some-college,Never-married,Handlers-cleaners,Unmarried,Female,United-States,<=50K
38,Self-emp-inc,Bachelors,Divorced,Exec-managerial,Not-in-family,Male,United-States,<=50K
55,Private,11th,Married-civ-spouse,Other-service,Husband,Male,United-States,<=50K
32,Private,HS-grad,Married-civ-spouse,Sales,Husband,Male,United-States,<=50K
22,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
29,Private,Bachelors,Never-married,Sales,Own-child,Male,United-States,<=50K
46,State-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
31,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
58,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
42,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
18,Private,HS-grad,Never-married,Handlers-cleaners,Unmarried,Male,United-States,<=50K
58,Local-gov,HS-grad,Divorced,Exec-managerial,Not-in-family,Male,United-States,<=50K
54,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
34,Private,Masters,Never-married,Prof-specialty,Not-in-family,Male,United-States,<=50K
26,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,Female,United-States,<=50K
61,Private,12th,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,<=50K
48,Local-gov,Masters,Separated,Adm-clerical,Unmarried,Female,United-States,<=50K
36,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
24,Private,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Husband,Male,United-States,<=50K
40,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,Male,United-States,<=50K
33,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
37,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,Male,United-States,>50K
34,Private,Masters,Never-married,Exec-managerial,Own-child,Male,United-States,<=50K
56,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
37,Private,Bachelors,Widowed,Exec-managerial,Not-in-family,Female,United-States,<=50K
44,Private,HS-grad,Divorced,Sales,Unmarried,Female,United-States,<=50K
54,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,Male,United-States,<=50K
23,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Male,United-States,<=50K
22,Private,HS-grad,Never-married,Other-service,Not-in-family,Female,United-States,<=50K
33,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
39,Private,Bachelors,Separated,Prof-specialty,Not-in-family,Male,United-States,>50K
47,Private,Some-college,Divorced,Adm-clerical,Not-in-family,Female,United-States,<=50K
26,Private,HS-grad,Never-married,Prof-specialty,Unmarried,Female,United-States,<=50K
31,Private,Some-college,Divorced,Exec-managerial,Unmarried,Female,United-States,<=50K
44,Private,Some-college,Never-married,Transport-moving,Not-in-family,Male,United-States,<=50K
42,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Wife,Female,United-States,>50K
19,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Female,United-States,<=50K
27,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Male,United-States,>50K
51,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,Male,United-States,>50K
28,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,<=50K
57,Private,Bachelors,Divorced,Craft-repair,Not-in-family,Male,United-States,<=50K
45,Local-gov,Bachelors,Divorced,Prof-specialty,Unmarried,Female,United-States,<=50K
50,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
34,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,Male,United-States,<=50K
45,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
73,Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,<=50K
34,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Female,United-States,>50K
31,Private,Some-college,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
19,Private,11th,Never-married,Sales,Not-in-family,Male,United-States,<=50K
25,Private,Some-college,Never-married,Other-service,Own-child,Female,United-States,<=50K
38,Federal-gov,Assoc-voc,Divorced,Craft-repair,Unmarried,Female,United-States,<=50K
39,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,Male,United-States,<=50K
23,Private,Bachelors,Never-married,Tech-support,Own-child,Female,United-States,<=50K
49,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,United-States,<=50K
33,Federal-gov,HS-grad,Never-married,Other-service,Not-in-family,Male,United-States,<=50K
21,Private,5th-6th,Never-married,Machine-op-inspct,Other-relative,Male,Mexico,<=50K
31,Private,Assoc-voc,Separated,Craft-repair,Not-in-family,Male,United-States,<=50K
23,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Female,United-States,<=50K
34,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,Male,Philippines,<=50K
25,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Female,Philippines,<=50K
39,Private,HS-grad,Never-married,Craft-repair,Unmarried,Male,United-States,<=50K
52,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,Male,United-States,>50K
63,Local-gov,9th,Married-civ-spouse,Transport-moving,Husband,Male,United-States,>50K
41,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
46,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
53,Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,<=50K
18,Private,12th,Never-married,Priv-house-serv,Own-child,Male,United-States,<=50K
38,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,<=50K
55,Private,Masters,Never-married,Exec-managerial,Unmarried,Female,Thailand,<=50K
34,Private,HS-grad,Married-civ-spouse,Tech-support,Husband,Male,United-States,>50K
80,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Husband,Male,United-States,<=50K
34,Private,Assoc-voc,Divorced,Tech-support,Unmarried,Female,United-States,<=50K
52,Private,Some-college,Married-civ-spouse,Tech-support,Husband,Male,United-States,<=50K
42,Private,HS-grad,Never-married,Other-service,Unmarried,Female,Haiti,<=50K
26,Private,Some-college,Never-married,Sales,Not-in-family,Female,United-States,<=50K
31,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,United-States,<=50K
25,Local-gov,HS-grad,Never-married,Other-service,Own-child,Female,United-States,<=50K
55,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
19,Private,Some-college,Never-married,Other-service,Own-child,Female,United-States,<=50K
62,Self-emp-not-inc,Some-college,Married-civ-spouse,Transport-moving,Husband,Male,United-States,<=50K
22,Federal-gov,Some-college,Never-married,Adm-clerical,Own-child,Female,United-States,<=50K
35,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Male,United-States,<=50K
28,Private,HS-grad,Married-civ-spouse,Sales,Own-child,Female,United-States,<=50K
47,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,United-States,>50K
44,State-gov,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,United-States,<=50K
21,Private,Some-college,Never-married,Sales,Own-child,Male,United-States,<=50K
35,Private,Assoc-voc,Never-married,Craft-repair,Not-in-family,Male,United-States,<=50K
24,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
28,Private,Bachelors,Never-married,Tech-support,Own-child,Male,United-States,<=50K
21,Private,Some-college,Never-married,Machine-op-inspct,Other-relative,Male,United-States,<=50K
62,Federal-gov,Some-college,Divorced,Tech-support,Not-in-family,Male,United-States,<=50K
39,Private,HS-grad,Never-married,Other-service,Not-in-family,Female,United-States,<=50K
30,State-gov,HS-grad,Never-married,Other-service,Not-in-family,Male,United-States,<=50K
72,Self-emp-not-inc,Prof-school,Never-married,Prof-specialty,Not-in-family,Male,United-States,<=50K
50,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,Female,United-States,<=50K
28,Local-gov,Masters,Never-married,Prof-specialty,Not-in-family,Male,United-States,<=50K
29,Private,Some-college,Never-married,Prof-specialty,Not-in-family,Female,United-States,<=50K
26,Private,Bachelors,Never-married,Adm-clerical,Own-child,Female,United-States,<=50K
27,Private,Masters,Never-married,Exec-managerial,Not-in-family,Female,United-States,<=50K
29,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,Male,United-States,>50K
29,Private,10th,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
31,Private,11th,Married-civ-spouse,Sales,Wife,Female,United-States,<=50K
25,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,<=50K
58,Private,10th,Married-civ-spouse,Transport-moving,Husband,Male,United-States,>50K
64,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,Female,United-States,>50K
46,State-gov,Masters,Never-married,Exec-managerial,Not-in-family,Male,United-States,<=50K
19,Private,HS-grad,Never-married,Other-service,Own-child,Female,United-States,<=50K
42,Private,HS-grad,Divorced,Other-service,Not-in-family,Male,United-States,<=50K
18,Private,11th,Never-married,Handlers-cleaners,Own-child,Male,United-States,<=50K
58,Self-emp-inc,Bachelors,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
20,Private,Some-college,Never-married,Protective-serv,Not-in-family,Male,United-States,<=50K
35,Federal-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
32,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Male,United-States,>50K
23,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,Female,United-States,<=50K
31,Private,Some-college,Divorced,Tech-support,Unmarried,Female,United-States,<=50K
33,Private,Bachelors,Married-civ-spouse,Sales,Husband,Male,United-States,<=50K
41,Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,Female,United-States,<=50K
22,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,Male,United-States,<=50K
46,Private,Some-college,Married-civ-spouse,Protective-serv,Husband,Male,United-States,>50K
61,Federal-gov,Some-college,Married-civ-spouse,Transport-moving,Husband,Male,United-States,<=50K
30,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,Male,United-States,<=50K
42,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
63,Private,10th,Married-civ-spouse,Handlers-cleaners,Husband,Male,United-States,<=50K
26,Private,Some-college,Married-civ-spouse,Sales,Husband,Male,United-States,<=50K
42,Private,10th,Divorced,Adm-clerical,Unmarried,Female,United-States,<=50K
23,Private,Some-college,Married-civ-spouse,Other-service,Husband,Male,United-States,<=50K
25,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,Male,United-States,<=50K
30,Private,9th,Married-civ-spouse,Other-service,Husband,Male,El-Salvador,>50K
23,Private,HS-grad,Never-married,Sales,Own-child,Male,United-States,<=50K
34,Self-emp-not-inc,Assoc-voc,Never-married,Farming-fishing,Not-in-family,Male,United-States,>50K
30,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Other-relative,Male,United-States,<=50K
39,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
30,Private,11th,Never-married,Handlers-cleaners,Other-relative,Male,Puerto-Rico,<=50K
38,Local-gov,Some-college,Divorced,Adm-clerical,Unmarried,Female,United-States,<=50K
26,Private,HS-grad,Divorced,Exec-managerial,Own-child,Female,United-States,<=50K
20,Private,Some-college,Never-married,Handlers-cleaners,Own-child,Male,United-States,<=50K
33,Private,HS-grad,Married-civ-spouse,Adm-clerical,Own-child,Female,United-States,<=50K
24,Private,Bachelors,Never-married,Adm-clerical,Own-child,Male,United-States,<=50K
42,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
51,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,Male,Vietnam,<=50K
56,Local-gov,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,Male,United-States,>50K
22,Private,Some-college,Never-married,Handlers-cleaners,Own-child,Male,United-States,<=50K
52,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,Male,United-States,<=50K
44,Private,Bachelors,Divorced,Exec-managerial,Unmarried,Female,United-States,>50K
34,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Female,United-States,<=50K
51,Private,Some-college,Divorced,Craft-repair,Not-in-family,Male,United-States,>50K
19,Private,Some-college,Never-married,Sales,Not-in-family,Female,United-States,<=50K
37,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
68,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,United-States,>50K
22,Private,Some-college,Divorced,Protective-serv,Not-in-family,Male,United-States,<=50K
56,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,<=50K
37,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,<=50K
52,Private,1st-4th,Married-civ-spouse,Machine-op-inspct,Husband,Male,Mexico,<=50K
26,Private,HS-grad,Separated,Handlers-cleaners,Own-child,Male,Puerto-Rico,<=50K
33,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,<=50K
45,Local-gov,Masters,Divorced,Prof-specialty,Unmarried,Female,United-States,<=50K
18,Private,11th,Never-married,Other-service,Own-child,Male,United-States,<=50K
43,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,Male,United-States,>50K
18,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,Male,United-States,<=50K
57,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
41,Private,HS-grad,Divorced,Adm-clerical,Unmarried,Female,United-States,<=50K
34,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
19,Private,HS-grad,Never-married,Sales,Unmarried,Female,United-States,<=50K
44,Private,9th,Divorced,Other-service,Unmarried,Female,Dominican-Republic,<=50K
56,Private,10th,Widowed,Other-service,Unmarried,Female,United-States,<=50K
36,Self-emp-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Male,United-States,<=50K
48,Private,Bachelors,Divorced,Exec-managerial,Unmarried,Female,United-States,<=50K
29,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,United-States,>50K
33,Private,Bachelors,Never-married,Craft-repair,Not-in-family,Male,United-States,<=50K
31,Private,5th-6th,Married-civ-spouse,Other-service,Husband,Male,Mexico,<=50K
39,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,Male,United-States,>50K
66,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,United-States,>50K
27,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,Female,United-States,>50K
39,Private,HS-grad,Divorced,Exec-managerial,Unmarried,Female,United-States,>50K
59,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,Male,United-States,>50K
